BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,391.81080600000007,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Once or twice a month,Disagree a little,Agree a lot,About half the lessons,Disagree a lot,Disagree a little,414.024098,2
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,360.194564,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Agree a little,Disagree a little,395.482748,1
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,396.869582,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a little,399.281654,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Disagree a lot,440.396502,2
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,375.5831500000001,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,425.357934,2
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,A few times a year,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a little,500.466348,3
Yes,Enough to fill three or more bookcases (more than 200),Disagree a little,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,437.321458,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,415.996432,2
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,431.083094,2
No,None or very few (0–10 books),Agree a little,Disagree a little,At least once a week,Agree a lot,Agree a lot,Never,Disagree a little,Agree a little,406.990816,2
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,419.292484,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Disagree a little,Agree a little,330.221624,1
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,About half the lessons,Disagree a little,Agree a little,382.665998,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a little,Disagree a little,401.069344,2
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Never,Agree a little,Agree a little,Some lessons,Disagree a lot,Disagree a little,366.396108,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,391.580472,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,424.677498,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a lot,Never,Agree a little,Agree a little,355.30794000000003,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,396.37357,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,455.97534,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a little,Some lessons,Agree a little,Agree a lot,374.228826,1
No,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,394.335196,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,412.358412,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a little,378.23254,1
Yes,None or very few (0–10 books),Disagree a little,Disagree a little,A few times a year,Disagree a little,Disagree a lot,Every or almost every lesson,Disagree a little,Agree a lot,460.7190060000001,2
